,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
77,frozenset({'Banana Cavendish'}),frozenset({'Field Tomatoes'}),0.20284112765840523,0.06430180799032807,0.017535857558938286,0.08645119341117824,1.344459761134271,0.004492806315705889,1.0242454319474794
78,frozenset({'Garlic Chinese 500g'}),frozenset({'Banana Cavendish'}),0.017541352970269826,0.20284112765840523,0.003681925592130571,0.2098997493734336,1.0347987698378183,0.00012381777498692362,1.0089338304973714
79,frozenset({'Banana Cavendish'}),frozenset({'Garlic Chinese 500g'}),0.20284112765840523,0.017541352970269826,0.003681925592130571,0.018151770474926176,1.0347987698378183,0.00012381777498692362,1.0006217025058461
80,frozenset({'Grapes black'}),frozenset({'Banana Cavendish'}),0.023415947683684123,0.20284112765840523,0.005555860856185086,0.23726824689040132,1.169724550585092,0.0008061436228363767,1.0451366015530876
81,frozenset({'Banana Cavendish'}),frozenset({'Grapes black'}),0.20284112765840523,0.023415947683684123,0.005555860856185086,0.027390208880821436,1.169724550585092,0.0008061436228363767,1.0040861825918532
82,frozenset({'Grapes white Seedless'}),frozenset({'Banana Cavendish'}),0.016870912787822167,0.20284112765840523,0.00491289773039512,0.29120521172638436,1.4356319898634597,0.0014907827558866622,1.124668078165761
83,frozenset({'Banana Cavendish'}),frozenset({'Grapes white Seedless'}),0.20284112765840523,0.016870912787822167,0.00491289773039512,0.024220422096394027,1.4356319898634597,0.0014907827558866622,1.0075319359771413
84,frozenset({'Kensington Pride Mango'}),frozenset({'Banana Cavendish'}),0.006363686321921196,0.20284112765840523,0.002253118645930648,0.35405872193436966,1.745497700696195,0.0009623013363277836,1.2341042435448752
85,frozenset({'Banana Cavendish'}),frozenset({'Kensington Pride Mango'}),0.20284112765840523,0.006363686321921196,0.002253118645930648,0.011107799842865272,1.7454977006961947,0.0009623013363277836,1.004797402103273
86,frozenset({'Kiwi fruit Green'}),frozenset({'Banana Cavendish'}),0.0067813375831180965,0.20284112765840523,0.002659779084464472,0.3922204213938411,1.9336336073538314,0.001284244922072473,1.3115920646260373
87,frozenset({'Banana Cavendish'}),frozenset({'Kiwi fruit Green'}),0.20284112765840523,0.0067813375831180965,0.002659779084464472,0.013112622253528758,1.9336336073538314,0.001284244922072473,1.0064154074853688
88,frozenset({'Leek'}),frozenset({'Banana Cavendish'}),0.027224267736440072,0.20284112765840523,0.005929548826729681,0.21780379491320148,1.0737654509592065,0.00040734765939583716,1.0191290460852285
89,frozenset({'Banana Cavendish'}),frozenset({'Leek'}),0.20284112765840523,0.027224267736440072,0.005929548826729681,0.02923247812305275,1.0737654509592065,0.00040734765939583716,1.0020686831206815
90,frozenset({'Lettuce Iceberg'}),frozenset({'Banana Cavendish'}),0.049392757047865034,0.20284112765840523,0.012100895752047041,0.24499332443257676,1.2078089254421716,0.0020820132143004547,1.0558302305638454
91,frozenset({'Banana Cavendish'}),frozenset({'Lettuce Iceberg'}),0.20284112765840523,0.049392757047865034,0.012100895752047041,0.05965701281460811,1.2078089254421716,0.0020820132143004547,1.010915438203528
92,frozenset({'Mandarin Imperial'}),frozenset({'Banana Cavendish'}),0.04346320822113535,0.20284112765840523,0.015238775622355333,0.3506132254393729,1.7285115177915171,0.00642264945512817,1.2275563709792978
93,frozenset({'Banana Cavendish'}),frozenset({'Mandarin Imperial'}),0.20284112765840523,0.04346320822113535,0.015238775622355333,0.0751266560104034,1.728511517791517,0.00642264945512817,1.0342354420689457
94,frozenset({'Nectarine White'}),frozenset({'Banana Cavendish'}),0.024520525361323296,0.20284112765840523,0.007517722701544211,0.3065889735544599,1.5114734230366305,0.0025439516864768693,1.1496195502224291
95,frozenset({'Banana Cavendish'}),frozenset({'Nectarine White'}),0.20284112765840523,0.024520525361323296,0.007517722701544211,0.037062122402535834,1.5114734230366305,0.0025439516864768693,1.0130243054437778
96,frozenset({'Nectarine Yellow'}),frozenset({'Banana Cavendish'}),0.01476617024784305,0.20284112765840523,0.00491289773039512,0.3327130628954224,1.6402643129441092,0.0019177111061266425,1.1946268209603264
97,frozenset({'Banana Cavendish'}),frozenset({'Nectarine Yellow'}),0.20284112765840523,0.01476617024784305,0.00491289773039512,0.024220422096394027,1.6402643129441092,0.0019177111061266425,1.0096889216198424
98,frozenset({'Onion brown'}),frozenset({'Banana Cavendish'}),0.01845359125130516,0.20284112765840523,0.004473264823872067,0.2424061941631924,1.1950544594260821,0.0007301175651100475,1.0522246436018379
99,frozenset({'Banana Cavendish'}),frozenset({'Onion brown'}),0.20284112765840523,0.01845359125130516,0.004473264823872067,0.022053046517298367,1.1950544594260821,0.0007301175651100475,1.0036806242436511
100,frozenset({'Onion red'}),frozenset({'Banana Cavendish'}),0.008633291201846457,0.20284112765840523,0.002016815958674507,0.233609166136219,1.151685404399983,0.0002656294358885829,1.0401466681467155
101,frozenset({'Banana Cavendish'}),frozenset({'Onion red'}),0.20284112765840523,0.008633291201846457,0.002016815958674507,0.009942835469101352,1.151685404399983,0.0002656294358885829,1.0013226956121017
102,frozenset({'Orange navel'}),frozenset({'Banana Cavendish'}),0.031016101555201406,0.20284112765840523,0.009512557014892564,0.3066973777462792,1.5120078520899034,0.0032212159998678946,1.1497993037301202
103,frozenset({'Banana Cavendish'}),frozenset({'Orange navel'}),0.20284112765840523,0.031016101555201406,0.009512557014892564,0.0468965890926824,1.5120078520899036,0.0032212159998678946,1.0166618725268892
104,frozenset({'Orange valencia'}),frozenset({'Banana Cavendish'}),0.007050612738363466,0.20284112765840523,0.0022915865252514152,0.32501948558067034,1.6023352331585323,0.0008614322867190533,1.1810102000164735
105,frozenset({'Banana Cavendish'}),frozenset({'Orange valencia'}),0.20284112765840523,0.007050612738363466,0.0022915865252514152,0.011297445206036143,1.6023352331585323,0.0008614322867190533,1.0042953590511938
106,frozenset({'Papaya Red'}),frozenset({'Banana Cavendish'}),0.0144419409792823,0.20284112765840523,0.0043358795405836125,0.3002283105022831,1.480115566148315,0.001406459946769858,1.1391699382891307
107,frozenset({'Banana Cavendish'}),frozenset({'Papaya Red'}),0.20284112765840523,0.0144419409792823,0.0043358795405836125,0.021375741648830972,1.480115566148315,0.001406459946769858,1.007085253211719
108,frozenset({'Peaches Yellow'}),frozenset({'Banana Cavendish'}),0.011012804308402483,0.20284112765840523,0.0030994119909875254,0.281437125748503,1.3874756514983362,0.000865562346389822,1.1093794306753861
109,frozenset({'Banana Cavendish'}),frozenset({'Peaches Yellow'}),0.20284112765840523,0.011012804308402483,0.0030994119909875254,0.01527999783262442,1.3874756514983364,0.000865562346389822,1.0043334079889004
110,frozenset({'Pear Packham'}),frozenset({'Banana Cavendish'}),0.03493432983458812,0.20284112765840523,0.013881409023465406,0.3973572439830108,1.9589579715420464,0.0067952901658268824,1.3227718484665931
111,frozenset({'Banana Cavendish'}),frozenset({'Pear Packham'}),0.20284112765840523,0.03493432983458812,0.013881409023465406,0.06843488390994554,1.9589579715420464,0.0067952901658268824,1.0359615806740008
112,frozenset({'Pears brown bosc'}),frozenset({'Banana Cavendish'}),0.007858438204099576,0.20284112765840523,0.0025168983898444797,0.3202797202797203,1.5789683481699412,0.0009228839228910288,1.1727748842062558
113,frozenset({'Banana Cavendish'}),frozenset({'Pears brown bosc'}),0.20284112765840523,0.007858438204099576,0.0025168983898444797,0.012408225190322668,1.5789683481699412,0.0009228839228910288,1.0046069510725724
114,frozenset({'Pineapple'}),frozenset({'Banana Cavendish'}),0.009814804638127164,0.20284112765840523,0.002791668956421388,0.2844344904815229,1.402252559749742,0.0008008229158767283,1.1140264053224478
115,frozenset({'Banana Cavendish'}),frozenset({'Pineapple'}),0.20284112765840523,0.009814804638127164,0.002791668956421388,0.013762834927257456,1.4022525597497422,0.0008008229158767283,1.0040031246326426
116,frozenset({'Pink lady kids pack 1kg'}),frozenset({'Banana Cavendish'}),0.007253942957630379,0.20284112765840523,0.0025168983898444797,0.34696969696969693,1.7105490438507693,0.0010455004203489863,1.2207073219152031
117,frozenset({'Banana Cavendish'}),frozenset({'Pink lady kids pack 1kg'}),0.20284112765840523,0.007253942957630379,0.0025168983898444797,0.012408225190322668,1.7105490438507696,0.0010455004203489863,1.0052190412720738
118,frozenset({'Potato Desiree'}),frozenset({'Banana Cavendish'}),0.023047755124471065,0.20284112765840523,0.005627301203495081,0.2441583214115403,1.203692388373601,0.0009522685640525825,1.0546638203787535
119,frozenset({'Banana Cavendish'}),frozenset({'Potato Desiree'}),0.20284112765840523,0.023047755124471065,0.005627301203495081,0.02774240741242448,1.203692388373601,0.0009522685640525825,1.0048286095410774
120,frozenset({'Potato brushed'}),frozenset({'Banana Cavendish'}),0.031659064680991375,0.20284112765840523,0.006907732043743474,0.21819128623502862,1.0756757702632862,0.00048597166324079386,1.019634161536396
121,frozenset({'Banana Cavendish'}),frozenset({'Potato brushed'}),0.20284112765840523,0.031659064680991375,0.006907732043743474,0.034054888786540595,1.0756757702632862,0.00048597166324079386,1.0024802901093828
122,frozenset({'Potato sweet Gold'}),frozenset({'Banana Cavendish'}),0.029675221190306095,0.20284112765840523,0.00794086937407265,0.2675925925925926,1.3192225643866078,0.001921514044318359,1.0884090798090043
123,frozenset({'Banana Cavendish'}),frozenset({'Potato sweet Gold'}),0.20284112765840523,0.029675221190306095,0.00794086937407265,0.0391482213974154,1.3192225643866076,0.001921514044318359,1.0098589609948856
124,frozenset({'Potato washed'}),frozenset({'Banana Cavendish'}),0.02519646095510249,0.20284112765840523,0.006479089959883497,0.2571428571428571,1.2677057168401211,0.0013682114067495293,1.0730984819983007
125,frozenset({'Banana Cavendish'}),frozenset({'Potato washed'}),0.20284112765840523,0.02519646095510249,0.006479089959883497,0.03194169759692232,1.267705716840121,0.0013682114067495293,1.0069678000024127
126,frozenset({'Pumpkin Butternut'}),frozenset({'Banana Cavendish'}),0.022772984557894158,0.20284112765840523,0.005913062592735066,0.25965250965250963,1.2800782200825547,0.0012937647248643666,1.0767361039711763
127,frozenset({'Banana Cavendish'}),frozenset({'Pumpkin Butternut'}),0.20284112765840523,0.022772984557894158,0.005913062592735066,0.02915120153883666,1.280078220082555,0.0012937647248643666,1.0065697325794216
128,frozenset({'Banana Cavendish'}),frozenset({'Pumpkin Grey'}),0.20284112765840523,0.011309556520305545,0.0028686047150629224,0.014142125653599198,1.2504580200123643,0.0005745615171676762,1.0028732023215532
129,frozenset({'Pumpkin Grey'}),frozenset({'Banana Cavendish'}),0.011309556520305545,0.20284112765840523,0.0028686047150629224,0.2536443148688046,1.2504580200123643,0.0005745615171676762,1.0680683328639335
130,frozenset({'Pumpkin Japanese/Kent'}),frozenset({'Banana Cavendish'}),0.040281365060174754,0.20284112765840523,0.010056602736714843,0.24965893587994545,1.2308102344036649,0.001885885224289112,1.062395369866162
